product_title,product_variant_title,quantity_sold
" Custom listing for Rachael Frizell",Default Title,0
"""OOPS"" Collection",Glitter Pumpkins Big Bow CLIP,0
"""OOPS"" Collection",Pumpkin Corn Big Bow CLIP,0
"""OOPS"" Collection",Spooky Pumpkins Big Bow CLIP,0
"""YOU'RE A MEAN ONE""",LITTLE BOW,0
"""YOU'RE A MEAN ONE""",BIG BOW,0
"""YOU'RE A MEAN ONE""",PIGGIE SET (2 MINI BOWS),0
$5 CHRISTMAS TOPKNOTS,BUFFALO SANTA / Baby,1
$5 CHRISTMAS TOPKNOTS,BUFFALO & LEOPARD TREES / Kid/Adult,1
$5 CHRISTMAS TOPKNOTS,Christmas Sweater / Kid/Adult,2
$5 CHRISTMAS TOPKNOTS,CHRISTMAS THINGS / TODDLER,0
$5 CHRISTMAS TOPKNOTS,Christmas Sweater / Baby,1
$5 CHRISTMAS TOPKNOTS,Holly Print / Toddler,2
$5 CHRISTMAS TOPKNOTS,Snowman / Baby,1
$5 CHRISTMAS TOPKNOTS,WHITE CHRISTMAS TREES / BABY,2
$5 CHRISTMAS TOPKNOTS,Polar Bear / Toddler,2
$5 CHRISTMAS TOPKNOTS,BUFFALO SANTA / Toddler,2
$5 CHRISTMAS TOPKNOTS,BUFFALO & LEOPARD TREES / Toddler,0
$5 CHRISTMAS TOPKNOTS,BUFFALO SANTA / Kid/Adult,1
$5 CHRISTMAS TOPKNOTS,WHITE CHRISTMAS TREES / TODDLER,0
$5 CHRISTMAS TOPKNOTS,ELF / Baby,1
$5 CHRISTMAS TOPKNOTS,Christmas Sweater / Toddler,1
$5 CHRISTMAS TOPKNOTS,CHRISTMAS THINGS / KID/ADULT,2
$5 CHRISTMAS TOPKNOTS,ALL I WANT / TODDLER,2
$5 CHRISTMAS TOPKNOTS,ELF / Kid/Adult,1
$5 CHRISTMAS TOPKNOTS,Holly Print / Baby,1
$5 CHRISTMAS TOPKNOTS,HOHOHO / TODDLER,2
$5 CHRISTMAS TOPKNOTS,ELF / Toddler,2
$5 CHRISTMAS TOPKNOTS,Polar Bear / Kid/Adult,0
$5 CHRISTMAS TOPKNOTS,BUFFALO & LEOPARD TREES / Baby,1
$5 CHRISTMAS TOPKNOTS,ALL I WANT / KID/ADULT,0
$5 CHRISTMAS TOPKNOTS,ALL I WANT / BABY,0
$5 CHRISTMAS TOPKNOTS,HOHOHO / BABY,2
$5 CHRISTMAS TOPKNOTS,HOHOHO / KID/ADULT,2
$5 CHRISTMAS TOPKNOTS,Holly Print / Kid/Adult,2
$5 CHRISTMAS TOPKNOTS,Polar Bear / Baby,1
$5 CHRISTMAS TOPKNOTS,WHITE CHRISTMAS TREES / KID/ADULT,1
$5 CHRISTMAS TOPKNOTS,Snowman / Toddler,1
7 AUTUMN SPARKLE BUNDLE,Topknot BUNDLE / Kid/Adult,0
7 AUTUMN SPARKLE BUNDLE,Topknot BUNDLE / Baby,0
7 AUTUMN SPARKLE BUNDLE,Headwrap BUNDLE / Baby,0
7 AUTUMN SPARKLE BUNDLE,Topknot BUNDLE / Toddler,0
7 Miss Mouse BUNDLE,Topknot BUNDLE / Toddler,0
7 Miss Mouse BUNDLE,Headwrap BUNDLE / Toddler,0
70’s Stripes ,Mini Bow,0
70’s Stripes ,Big Bow,0
70’s Stripes ,Piggie Set (2 Mini Bows),0
70’s Stripes ,Little Bow,0
ACID CHIEFS,Piggie Set (2 MINI BOWS),1
ACID CHIEFS,Mini Bow,0
ACID CHIEFS,Big Bow,1
ACID CHIEFS,Topknot,1
ACID CHIEFS,Headwrap,0
ACID CHIEFS,Little Bow,4
ACID WASH ELF STRIPES,LITTLE BOW,0
ACID WASH ELF STRIPES,PIGGIE SET (2 MINI BOWS),0
ACID WASH ELF STRIPES,BIG BOW,0
ASHLEE MCGREGOR RUSH,Default Title,0
AUTUMN SUNFLOWERS,LITTLE BOW,0
AUTUMN SUNFLOWERS,BIG BOW,0
Acid Wash Broncos ,Headwrap,0
Acid Wash Broncos ,Topknot,0
Acid Wash Broncos ,Little Bow,0
Acid Wash Vikings ,Little Bow,0
Acid Wash Vikings ,Mini Bow,0
All I want ,Big Bow,0
All I want ,Piggie Set,0
All I want ,Little Bow,0
All I want ,Mini Bow,1
Animal Print Rainbows,Big Bow,6
Animal Print Rainbows,Headwrap,3
Animal Print Rainbows,Little Bow,6
Animal Print Rainbows,Piggie Set (2 mini Bows),1
Anklet Socks,Black / 6-18 months,0
Anklet Socks,Gray / 6-18 months,0
Apple Green,Piggie Set (2 Mini Bows),0
Apple Green,Mini Bow,1
Apricot,Headwrap,1
